Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://accessibility.civicactions.com/about/people/jennifer-houde,text/html; charset=utf-8,200,OK,Indexable,,Jennifer Houde | CivicActions Accessibility,43,378,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Jennifer Houde,14,,0,About,5,Connect,7,,,,,,,,,,15173,3203,26,11,2.364,41.744,Hard,3.346,,2,,2,1,0,0.74,25,19,0,9,9,0,,,,,51d4800c8edb995c048cdaae4cec2eb1,0.05,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/jennifer-houde,2024-01-03 17:47:20
https://accessibility.civicactions.com/about/people/jonathan-bourland,text/html; charset=utf-8,200,OK,Indexable,,Jonathan Bourland | CivicActions Accessibility,46,409,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Jonathan Bourland,17,,0,About,5,Connect,7,,,,,,,,,,15074,3170,24,10,2.4,28.149,Very Hard,3.375,1,2,,4,3,0,2.21,25,19,0,8,8,0,,,,,37925c1d8f0e3bd96ac2020d7fb37829,0.073,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/jonathan-bourland,2024-01-03 17:40:55
https://accessibility.civicactions.com/about/people/luke-fretwell,text/html; charset=utf-8,200,OK,Indexable,,Luke Fretwell | CivicActions Accessibility,42,361,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Luke Fretwell,13,,0,About,5,Connect,7,,,,,,,,,,16532,3492,94,22,4.273,55.798,Fairly Hard,5.693,3,2,,14,8,0,5.88,30,24,0,11,11,0,,,,,b3e755e253fc344376d7165162231b4c,0.141,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/luke-fretwell,2024-01-03 17:45:50
https://accessibility.civicactions.com/about/people/michelle-kang,text/html; charset=utf-8,200,OK,Indexable,,Michelle Kang | CivicActions Accessibility,42,367,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Michelle Kang,13,,0,About,5,Connect,7,,,,,,,,,,15140,3179,25,11,2.273,31.944,Hard,3.34,3,2,,3,2,0,1.47,25,19,0,9,9,0,,,,,af73a73adba2e8b8b7660fb746e38948,0.056,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/michelle-kang,2024-01-03 17:45:49
https://accessibility.civicactions.com/about/people/mike-gifford,text/html; charset=utf-8,200,OK,Indexable,,Mike Gifford | CivicActions Accessibility,41,351,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Mike Gifford,12,,0,About,5,Connect,7,,,,,,,,,,19409,4276,287,51,5.627,55.21,Fairly Hard,11.302,1,2,,40,22,0,16.18,42,36,0,12,12,0,,,,,b482acd4a0200d024255c30ef14e0ac3,0.055,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/mike-gifford,2024-01-03 17:41:14
https://accessibility.civicactions.com/about/people/nira-datta,text/html; charset=utf-8,200,OK,Indexable,,Nira Datta | CivicActions Accessibility,39,332,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Nira Datta,10,,0,About,5,Connect,7,,,,,,,,,,15891,3390,64,18,3.556,51.21,Fairly Hard,4.669,1,2,,10,6,0,4.41,28,22,0,8,8,0,,,,,4459477f0a2b5a1cfa105d4cc4e98874,0.058,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/nira-datta,2024-01-03 17:41:17
https://accessibility.civicactions.com/about/people/vanessa-luxen,text/html; charset=utf-8,200,OK,Indexable,,Vanessa Luxen | CivicActions Accessibility,42,377,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Vanessa Luxen,13,,0,About,5,Connect,7,,,,,,,,,,14930,3152,22,9,2.444,19.772,Very Hard,3.28,1,2,,4,3,0,2.21,25,19,0,7,7,0,,,,,8d24f583716c6b04b171ffd415d67a32,0.067,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/vanessa-luxen,2024-01-03 17:40:52
https://accessibility.civicactions.com/accessibility,text/html; charset=utf-8,200,OK,Indexable,,Accessibility Statement | CivicActions Accessibility,52,452,Website accessibility statement and feedback document.,54,351,,0,Accessibility Statement,23,,0,Our goals,9,Design framework,16,,,,,,,,,,15444,3823,260,45,5.778,57.801,Fairly Hard,12.536,1,0,,134,131,0,96.32,21,18,0,16,16,0,,,,,f9f93a4913ef21447592fa4ae2a5c817,0.181,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/accessibility,2024-01-03 17:40:52
https://accessibility.civicactions.com/agile,text/html; charset=utf-8,200,OK,Indexable,,Agile | CivicActions Accessibility,34,286,We value agile approaches.,26,168,,0,Agile,5,,0,We are Agile,12,Accessibility and Agile,23,,,,,,,,,,14954,3685,219,38,5.763,15.174,Very Hard,12.378,2,0,,3,2,0,1.47,22,19,0,9,9,0,,,,,41376fa4f5c597f708df8e0bfe9d640,0.059,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/agile,2024-01-03 17:41:32
https://accessibility.civicactions.com/analytics,text/html; charset=utf-8,200,OK,Indexable,,Analytics | CivicActions Accessibility,38,322,Web traffic data for the CivicActions Accessibility website.,60,357,,0,Analytics,9,,0,Website,7,Why we do this,14,,,,,,,,,,13564,3213,68,18,3.778,25.092,Very Hard,5.722,1,0,,136,131,0,96.32,21,17,0,6,6,0,,,,,e4acf1bf776a5df5fe45d85975b956bb,0.051,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/analytics,2024-01-03 17:41:19
