Category label,Category description
Champion Accessibility,How to organize and advocate for accessibility and build your accessibility career
Accessibility Guides,How to accomplish accessibility tasks across a range of practitioner roles
About,About the accessibility practice area at CivicActions
Other … ?,Content that does not fit and means we need to reassess
Uncategorized,"Content it doesn’t make sense to categorize, like the homepage"
